TRIVIA EDITOR EXPORT FILE	2/24/99 3:20:55 PM	Copyright 1999 Jonathan S. Harbour

Total records	109
DURING WHICH SEASON OF VOYAGER WAS THE EPISODE "DAY OF HONOR" AIRED?	FOURTH
WHAT WAS "SEVEN OF NINE, TERTIARY ADJUNCT OF UNIMATRIX ZERO ONE'S" ORIGINAL NAME BEFORE SHE WAS ASSIMILATED?	ANNIKA
WHAT WAS THE NAME OF THE SHIP THAT SEVEN WAS ABOARD WHEN SHE WAS CAPTURED BY THE BORG?	TIMKEN
DURING WHICH VOYAGER EPISODE WAS SEVEN'S ORIGINAL NAME DISCOVERED TO BE "ANNIKA?"	NEMESIS
WHICH VOYAGER EPISODE WAS FIRST AIRED ON SEPTEMBER 24, 1997?	NEMESIS
WHICH FOURTH-SEASON VOYAGER EPISODE WAS ORIGINALLY CALLED "THE RECRUIT," BUT WAS RENAMED BEFORE IT WAS AIRED ON TELEVISION?	NEMESIS
WHICH VOYAGER EPISODE FIRST AIRED ON OCTOBER 1, 1997?	REVULSION
WHICH VOYAGER EPISODE FIRST AIRED ON OCTOBER 8, 1997?	THE RAVEN
DURING WHICH SEASON OF VOYAGER WAS THE EPISODE "THE RAVEN" FIRST AIRED?	FOURTH
WHO DIRECTED THE FOURTH-SEASON VOYAGER EPISODE "THE RAVEN?"	LEVAR BURTON
WHICH VOYAGER EPISODE WAS FIRST AIRED ON OCTOBER 29, 1997?	SCIENTIFIC METHOD
WHICH FOURTH-SEASON VOYAGER EPISODE WAS ORIGINALL CALLED "TAGGED?"	SCIENTIFIC METHOD
WHO DIRECTED THE FOURTH-SEASON VOYAGER EPISODE "SCIENTIFIC METHOD?"	DAVID LIVINGSTON
WHICH FOURTH-SEASON VOYAGER EPISODE FIRST AIRED ON NOVEMBER 5, 1997?	THE YEAR OF HELL
WHAT ALIEN RACE NEARLY DESTROYED VOYAGER IN "THE YEAR OF HELL?"	KRENIM
WHICH VOYAGER EPISODE INVOLVED TORRES' DEEPEST, DARKEST THOUGHTS?	RANDOM THOUGHTS
WHICH VOYAGER EPISODE FEATURED JANEWAY FLYING WITH LEONARDO DA VINCI?	CONCERNING FLIGHT
WHO WAS THE ALIEN IN THE VOYAGER EPISODE "CONCERNING FLIGHT," THAT USED A TRANSPORTER TO STEAL THINGS FROM SHIPS PASSING BY?	TAU
WITH WHOM DID JANEWAY FIND HELP IN DEFEATING TAU AND RESTORE THE MISSING PIECES OF VOYAGER IN THE EPISODE "CONCERNING FLIGHT?"	LEONARDO DA VINCI
DURING WHICH FOURTH-SEASON VOYAGER EPISODE DID NEELIX DIE, AND WAS RESURRECTED BY BORG NANOTECHNOLOGY?	MORTAL COIL
WHICH VOYAGER EPISODE WAS AIRED ON DECEMBER 17, 1997, AND FEATURED THE DEATH OF NEELIX?	MORTAL COIL
IN THE VOYAGER EPISODE "MORTAL COIL," WHICH CREW MEMBER WAS KILLED AND RESURRECTED AGAIN BY BORG NANOTECHNOLOGY?	NEELIX
WHICH VOYAGER EPISODE WAS FIRST AIRED ON JANUARY 14, 1998, AND WAS FOCUSED MAINLY ON DREAMS?	WAKING MOMENTS
IN THE VOYAGER EPISODE "WAKING MOMENTS," WHO SAVED THE CREW FROM AN ETERNAL DREAM STATE?	CHAKOTAY
WHICH VOYAGER EPISODE WAS FIRST AIRED ON JANUARY 21, 1998, AND FEATURED TWO EMERGENCY HOLOGRAPHIC DOCTORS?	MESSAGE IN A BOTTLE
WHICH VOYAGER EPISODE AIRED ON FEBRUARY 11, 1998, DURING WHICH THE CREW FINALLY CONTACTED THEIR FAMILIES BACK HOME?	HUNTERS
WHO WROTE THE SCRIPT FOR THE VOYAGER EPISODE "HUNTERS," WHICH AIRED ON FEBRUARY 11, 1998?	JERI TAYLOR
WHO DIRECTED THE VOYAGER EPISODE "HUNTERS," WHICH AIRED ON FEBRUARY 11, 1998?	DAVID LIVINGSTON
WHICH VOYAGER EPISODE AIRED ON FEBRUARY 18, 1998, AND FEATURED THE HIROGEN AND SPECIES 8472?	PREY
WHAT KIND OF ALIEN MANGLED THE HIROGEN SHIP AND THEN STARTED RAVAGING VOYAGER IN THE EPISODE "PREY?"	SPECIES 8472
WHICH VOYAGER EPISODE AIRED ON FEBRUARY 25, 1998	RETROSPECT
WHO WROTE THE FOURTH-SEASON VOYAGER EPISODE "KILLING GAME?"	BRANNON BRAGA
WHICH FOURTH-SEASON VOYAGER EPISODE PRESENTED THE CREW ON THE HOLODECK WITH ALPHA HIROGEN?	KILLING GAME
WHICH FOURTH-SEASON VOYAGER EPISODE AIRED ON MARCH 4, 1998?	KILLING GAME
IN WHICH VOYAGER EPISODE DOES AN ALIEN SWITCH DNA WITH TOM PARIS, AND THEN MAKE A SWITCH WITH CAPTAIN JANEWAY?	VIS A VIS
IN THE VOYAGER EPISODE "VIS A VIS," WHO IS FORTUNATE ENOUGH TO HAVE A GOOD OLD-FASHIONED MAKEOUT SESSION WITH B'ELANNA TORRES?	TOM PARIS
IN WHAT VOYAGER EPISODE DID TOM AND B'ELANNA MAKE OUT IN THE BACK SEAT OF A '69 CAMARO IN THE HOLODECK?	VIS A VIS
WHAT CAUSED A SUBSPACE SHOCKWAVE THAT HIT VOYAGER, CAUSING IT TO GO INTO "OMEGA MODE?"	OMEGA DIRECTIVE
WHO TRIED TO HARNESS THE POINT OF THE "PERFECT" ENERGY SOURCE, SOUGHT BY THE BORG TO FULFILL THEIR STATE OF PERFECTION?	SEVEN
WHO DID CHAKOTAY FALL IN LOVE WITH IN THE FOURTH-SEASON EPISODE "UNFORGETTABLE?"	KELLIN
IN WHICH VOYAGER EPISODE DID CHAKOTAY FALL IN LOVE WITH A BEAUTIFUL WOMAN NAMED KELLIN?	UNFORGETTABLE
IN WHICH VOYAGER EPISODE DOES AN ALIEN RACE BUILD A MUSEUM OF HATRED FOR THE STARSHIP THAT ATTACKED THEM 700 YEARS AGO?	LIVING WITNESS
WHICH VOYAGER EPISODE ACTUALLY TAKES PLACE 700 YEARS IN THE FUTURE?	LIVING WITNESS
WHO WROTE THE SCRIPT FOR THE FOURTH-SEASON VOYAGER EPISODE "DEMON?"	ANDRE BORMANIS
WHO WROTE THE TELEPLAY FOR THE FOURTH-SEASON VOYAGER EPISODE "DEMON?"	KENNETH BILLER
WHO DIRECTED THE FOURTH-SEASON VOYAGER EPISODE "DEMON?"	ANSON WILLIAMS
IN WHICH EPISODE IS VOYAGER PERILOUSLY LOW ON DEUTERIUM FUEL, AND MUST SWITCH TO "GREY MODE?"	DEMON
WHAT IS THE NAME FOR A CLASS-Y PLANET WITH HIGH TEMPERATURE, TOXIC GASES, AND THERMIONIC DISCHARGES IN THE ATMOSPHERE?	DEMON
WHO WROTE THE SCRIPT FOR THE FOURTH-SEASON VOYAGER EPISODE "ONE?"	JERI TAYLOR
WHO DIRECTED THE FOURTH-SEASON VOYAGER EPISODE "ONE?"	KENNETH BILLER
WHICH VOYAGER EPISODE WAS JERI TAYLOR'S FAREWELL TO THE SERIES BEFORE HER RETIREMENT AS WRITER/ PRODUCER?	ONE
WHICH EPISODE WAS THE FOURTH-SEASON FINALE FOR VOYAGER?	HOPE AND FEAR
WHO WROTE THE FOURTH-SEASON FINALE FOR VOYAGER, "HOPE AND FEAR?"	BRANNON BRAGA
WHO DIRECTED THE FOURTH-SEASON FINALE FOR VOYAGER, "HOPE AND FEAR?"	RICK KOLBE
WHO DECIPHERED THE ENCRYPTED STARFLEET MESSAGE VOYAGER RECEIVED IN "HUNTERS?"	ARTURIS
WHO WAS THE VERY SMART ALIEN, ADEPT AT LINGUISTICS AND COMMUNICATION, WHO CAME ON BOARD VOYAGER IN "HOPE AND FEAR?"	ARTURIS
WHAT EXPERIMENTAL UNMANNED STARSHIP WAS VOYAGER SUPPOSED TO RENDEZVOUS WITH IN "HOPE AND FEAR?"	DAUNTLESS
WHAT WAS THE REGISTRY OF THE USS DAUNTLESS, SENT TO RESCUE VOYAGER FROM THE DELTA QUADRANT?	NX-01A
WHAT WAS THE NAME OF THE ADVANCED SPACEFOLDING, QUANTUM- SLIPSTREAM STARSHIP IN THE VOYAGER EPISODE "HOPE AND FEAR?"	DAUNTLESS
WHO GOES WITH SEVEN ABOARD THE DAUNTLESS HEADING FOR BORG SPACE IN THE VOYAGER EPISODE "HOPE AND FEAR?"	JANEWAY
WHAT WAS SEVEN'S NAME BEFORE SHE WAS ASSIMILATED BY THE BORG AS A CHILD?	ANNIKA HANSEN
